,rally,receiving_shot,winning_shot,combined
0,6f2f2b2b3*,b2,b3,b2b3
1,4b2f3s2f+2b2v1f1*,v1,f1,v1f1
2,6s2f+3s2o1*,s2,o1,s2o1
3,5f2f3s3f3s2f1f2f2b2b3s1f2f1f1f3*,f1,f3,f1f3
4,5b2f3b2f1f3b2f3*,b2,f3,b2f3
5,4b2b+2f3z3*,f3,z3,f3z3
6,6s2f;1f1f2f1r2f3*,r2,f3,r2f3
7,5s2f+1f3z2*,f3,z2,f3z2
8,6b2b2b2f1f2f1f2f1*,f2,f1,f2f1
9,6f2b3b1*,b3,b1,b3b1
10,5b2b3b3b2r2f+3*,b2,r2,b2r2
11,6s2f2b2f2f1*,f2,f1,f2f1
12,4f38b+28s2v19*,s2,v1,s2v1
13,4s2j18f39*,j1,f3,j1f3
14,4r28f+18f2v37*,f2,v3,f2v3
15,c4b29f28f+38b2z17*,b2,z1,b2z1
16,6s37f-18b2z37f3z17*,f3,z1,f3z1
17,5s38f19s17r18f38s38f39b19s19f18b38*,f1,b3,f1b3
18,6f39b29f39*,b2,f3,b2f3
19,4b28f18s29f+37f3z19b19*,z1,b1,z1b1
20,5s18f17s39f29b29f17s28f39f38b+28s2v18b17*,v1,b1,v1b1
21,4f29f19b28s28f+38b2z^17*,s2,b2,s2b2
22,6f27f+19b2z39l3o27*,l3,o2,l3o2
23,4b39b38f38b39*,f3,b3,f3b3
24,6b29f19f19b39s29f+18f1z38*,f1,z3,f1z3
25,4f28b39s39b38b39b38f39b29f19f18f+39m39*,f1,m3,f1m3
26,5b28f19l2j38*,l2,j3,l2j3
27,4f29b27s28f+18*,b2,s2,b2s2
28,6s29f18f39s39b19r29f18f39b28b38y37s-19l29*,y3,l2,y3l2
29,6r28f+18f2z37*,f2,z3,f2z3
30,6f27f+38m2o17*,m2,o1,m2o1
31,6f19f19f18f39b27f29f18f19f19f28s29f38s37s+29f19*,s3,f1,s3f1
32,c6b29f29s38s37s29b38b39b38f+19r17u-27*,b3,r1,b3r1
33,6f29b38s39f38s39b39b19f17f17r27s+19l2o37*,l2,o3,l2o3
34,6r18f18f29b28b37s28f39b28f28b27f38s39f39b38b37s18f18f38*,f1,f3,f1f3
35,6b29f17f39*,f1,f3,f1f3
36,cc6r28f+38m2o19*,m2,o1,m2o1
37,6s28f+38b3z28m2o17*,m2,o1,m2o1
38,6f2f2f1f+3m2o2*,m2,o2,m2o2
39,4r2f2r2f+3m2o2*,m2,o2,m2o2
40,4f2f2b3b2b2f1f2f+3*,f1,f2,f1f2
41,6f3b3b1r1f+3b2z1*,b2,z1,b2z1
42,4f2f2f+3b3z2*,b3,z2,b3z2
43,4b2f3b2y1f+2b3*,y1,b3,y1b3
44,6s2f2b2b3b3b3s1*,b3,s1,b3s1
45,6s1f1r2f+1*,f1,r2,f1r2
46,6f2f2f2y3s-2v2*,y3,v2,y3v2
47,6s2f+2f2z2f-2*,f2,z2,f2z2
48,4s2f3s2f+1*,f3,s2,f3s2
49,4s2r-1l2o1r1*,o1,r1,o1r1
50,5f2f+1f1v2*,f1,v2,f1v2
51,6f2b2f1f2y3s-3z2*,y3,z2,y3z2
52,6s2f2s1f3s2f-;2*,f3,s2,f3s2
53,6b2f1r2f+3s3z1*,s3,z1,s3z1
54,4s2f2f1f2f1*,f2,f1,f2f1
55,4f2b2s2y2r-3m2o2*,m2,o2,m2o2
56,6b2f2f2b2f1*,b2,f1,b2f1
57,4s2f-2b3z3b2*,z3,b2,z3b2
58,6f2f+3b2v2*,b2,v2,b2v2
59,6f2f2f3*,f2,f3,f2f3
60,4f2b3s2f+1*,b3,s2,b3s2
61,6f2f2f1*,f2,f1,f2f1
62,6f3b3b3b3u2*,b3,u2,b3u2
63,6r2f3s2f1*,s2,f1,s2f1
64,4r2s+3b3z2*,b3,z2,b3z2
65,6f2b3b2b3b2f+2f3*,b2,f3,b2f3
66,4f2f1b3s2u3*,s2,u3,s2u3
67,6b2b2f1*,b2,f1,b2f1
68,6s2f+3b3z2f1*,z2,f1,z2f1
69,4+f2z2b2*,z2,b2,z2b2
70,4s2f+3s2o2*,s2,o2,s2o2
71,4+f2z2b3*,z2,b3,z2b3
72,6f2b2f3s2f+1*,f3,s2,f3s2
73,4+f2z3b3*,z3,b3,z3b3
74,4s2f1f1f3s2b+1f3*,s2,f3,s2f3
75,4+f2z2t2z2*,t2,z2,t2z2
76,4f3b2s3b1*,s3,b1,s3b1
77,5+f2z28f19*,z2,f1,z2f1
78,6s29f18s29f19s28f+18*,f1,s2,f1s2
79,4s29s19s27s+18b2v17*,b2,v1,b2v1
80,4+r2v39m1z17*,m1,z1,m1z1
81,6r18f2s29f19s19f38*,s1,f3,s1f3
82,5+b1z39m1v17*,m1,v1,m1v1
83,6+b2z38f18*,z3,f1,z3f1
84,6f27f37s38f37s39f38b28f17f27f+19*,f1,f2,f1f2
85,6f39f37b28f28b39f19r28f+38*,f1,r2,f1r2
86,6s29f+38s2v18f18*,v1,f1,v1f1
87,5b28f+38b2z27r2z37*,r2,z3,r2z3
88,5f18b;18f17s39s18s27u+37*,s1,s2,s1s2
89,6s19f37b19*,f3,b1,f3b1
90,4f18f28f28f39f29f18s29f+18s3z38*,s3,z3,s3z3
91,4r28f+3m3o1*,m3,o1,m3o1
92,5r27y1r2v3*,r2,v3,r2v3
93,4+f27i3b3z2*,b3,z2,b3z2
94,4r28b+3m2o1*,m2,o1,m2o1
95,4f18f1r2f+1f1v3*,f1,v3,f1v3
96,4b37s3s1f1v3*,f1,v3,f1v3
97,6s27b+1f3z3*,f3,z3,f3z3
98,4r28f3b1*,f3,b1,f3b1
99,4+s17h3b1v2*,b1,v2,b1v2
100,6s28f1f1f2f3*,f2,f3,f2f3
101,5s28f+1f1v3b3*,v3,b3,v3b3
102,4+s27h2r1*,h2,r1,h2r1
103,6r28f+1l1o3*,l1,o3,l1o3
104,6r28f3b2f1r3b3b3f3s1r2f3s2u+1r1*,s2,r1,s2r1
105,4r38b3b3s3b3f3b1f1f3s3b3s2f1*,s2,f1,s2f1
106,4s37f+1f2v2*,f2,v2,f2v2
107,6s29f3s2u+1r1*,s2,r1,s2r1
108,5f38f+3b2v1*,b2,v1,b2v1
109,4b28b1s3y+1b1*,s3,b1,s3b1
110,6b27f+3b3v1l2o3*,l2,o3,l2o3
111,4s28f+1r2v3*,r2,v3,r2v3
112,6f29f2f3*,f2,f3,f2f3
113,4+s38z3f3z2*,f3,z2,f3z2
114,4f27f1m2o3r1f1b3z1*,b3,z1,b3z1
115,4+s37z3f2v2*,f2,v2,f2v2
116,6f28f+3b2v1*,b2,v1,b2v1
117,6r28f+1l1o=1r2f+;3m+1f2v^1*,r2,f2,r2f2
118,6b27f+2f2z3*,f2,z3,f2z3
119,5r17b+1f3v3*,f3,v3,f3v3
120,6s38f+1f1z3m2o2*,m2,o2,m2o2
121,4r17f+3m2o1*,m2,o1,m2o1
122,4b28b1f1f3*,f1,f3,f1f3
123,4r18f1r2f+1f3z2s3z2f1*,z2,f1,z2f1
124,4s37f+3m2o3m2o=3*,o3,m2,o3m2
125,6b27b+3b2v1*,b2,v1,b2v1
126,4r27f+3m2o1f1*,o1,f1,o1f1
127,4+r27j3m2o1*,m2,o1,m2o1
128,4s29f1f3*,f1,f3,f1f3
129,4+r37z3s2v2*,s2,v2,s2v2
130,4s38f+1r2r3*,r2,r3,r2r3
131,6s38f3s2f+1l1o3*,l1,o3,l1o3
132,5r17f+3s1v1*,s1,v1,s1v1
133,5f28f+3s3z1f1v3*,f1,v3,f1v3
134,4b38f2f3*,f2,f3,f2f3
135,4f28f3s2r1*,s2,r1,s2r1
136,6s18f1f2f+2s2z3m2o1f2f1*,f2,f1,f2f1
137,4f28f+3m3o1*,m3,o1,m3o1
138,4f39s2f+1f1v3*,f1,v3,f1v3
139,4s37s+1m2o3*,m2,o3,m2o3
140,c6s37y+1r3z3*,r3,z3,r3z3
141,4b38f3f1*,f3,f1,f3f1
142,c5s18f1f2b2s3f1f1r1f3*,r1,f3,r1f3
143,4r28b+3s2v1*,s2,v1,s2v1
144,4b28f+1f2v3*,f2,v3,f2v3
145,6f28f2f+1f2z;3*,f2,f2,f2f2
146,6s28f3s2f1f3*,f1,f3,f1f3
147,4s38f+19l37o37*,l3,o3,l3o3
148,4f28b38b27b27s39f19f28b18*,f2,b1,f2b1
149,5b17f19f19f28s37s+39m2o28b38s29f27f19*,f2,f1,f2f1
150,4b27f18f27f+39s3z18*,s3,z1,s3z1
151,4b38b28f18f28f+37s3z19*,s3,z1,s3z1
152,4f29f18f18f17f27s28f19f19f29s38y17f-18*,s3,y1,s3y1
153,5b29f19f28f38s39f18r29f18f28f38*,f2,f3,f2f3
154,6s39b39s19f18f19f38s37s;+38s3z^37*,s3,s3,s3s3
155,6b28b28f38b29f29f;37*,b2,f2,b2f2
156,6s28f+3b1v1*,b1,v1,b1v1
157,6s28f3s+3f3*,f3,f3,f3f3
158,6s27f+3m2o2*,m2,o2,m2o2
159,4f28f+3s2v1*,s2,v1,s2v1
160,6f28f+3b2z2f+1v2z3*,v2,z3,v2z3
161,4f28f1r3f+3b1*,r3,b1,r3b1
162,6r38b3s3f3s2f+3b1*,s2,b1,s2b1
163,5b27f+3b2z1*,b2,z1,b2z1
164,6s27f+1f1v2*,f1,v2,f1v2
165,6s38f+1f2v3*,f2,v3,f2v3
166,4b37s+3b2v1*,b2,v1,b2v1
167,4s38f3b1*,f3,b1,f3b1
168,4r38b3f1f1f1f1f3s1f+1*,f3,s1,f3s1
169,6f38b2f1*,b2,f1,b2f1
170,6r17f1f2f+1l3o3*,l3,o3,l3o3
171,6r38f3b2f1f1f2s3b1r1u+3b1v1*,b1,v1,b1v1
172,6s28f3b2f1f3b2f2b2f3b1r2f3b3b2f1*,b2,f1,b2f1
173,4s38u3b+1f1*,u3,f1,u3f1
174,6b28f+3b2z1*,b2,z1,b2z1
175,5+s37z3b3z1*,b3,z1,b3z1
176,5b28f3b1f1r3b3*,r3,b3,r3b3
177,4s38u+3s1l2*,s1,l2,s1l2
178,4f38s2u+3s3z2m2f2z3*,f2,z3,f2z3
179,4+r28j3m2o3m2o3m2o1*,m2,o1,m2o1
180,6r37b+3b1v1*,b1,v1,b1v1
181,5s29f3s1f1f1*,f1,f1,f1f1
182,5r28u+3s1v1*,s1,v1,s1v1
183,5f28f29b18b28b29b28f18b18f18b18f+38r2v18*,r2,v1,r2v1
184,4f27f+17m1o28*,m1,o2,m1o2
185,5f28s29f+37r37y-17*,s2,r3,s2r3
186,5s37r37f-37f19*,r3,f1,r3f1
187,6r28f+39f17h2z=38*,f1,h2,f1h2
188,4b17f;18b+39s3v18*,s3,v1,s3v1
189,4b39f18s17f-19b2z38f3z27*,f3,z2,f3z2
190,4r17s19r39*,s1,r3,s1r3
191,4b29f18f18*,f1,f1,f1f1
192,4f18b28b28f28f19*,f2,f1,f2f1
193,4b19b28f+38f3z;17*,b2,f3,b2f3
194,6+b2v38l2o18*,l2,o1,l2o1
195,6b29f19b19f18b18f39f38s28s39b28b38*,b2,b3,b2b3
196,4s39f38s+19m1o;37*,f3,m1,f3m1
197,6m2j17b3z37*,b3,z3,b3z3
198,c4b38b1f1f2b+1f1*,f2,f1,f2f1
199,4f18f3b1*,f3,b1,f3b1
200,4s37b+1l1o3*,l1,o3,l1o3
201,6s38b3s2b3b2b1*,b2,b1,b2b1
202,6+b27i3b3*,i3,b3,i3b3
203,4f28f1r3f1f1f3*,f1,f3,f1f3
204,4f19v=2b3m3o=3b1*,m3,b1,m3b1
205,5b29f2b3b2f1f3b2f1*,b2,f1,b2f1
206,4f28f3b2f1*,b2,f1,b2f1
207,4f28f3m2o1*,m2,o1,m2o1
208,4b27f1f1r3*,f1,r3,f1r3
209,6s29f39b29f39b27f18f29s37s+29f1v^37*,s3,f1,s3f1
210,5b28b+39s2v17*,s2,v1,s2v1
211,6r29f38s38s28f+38*,s3,s2,s3s2
212,4r37s+;38m3o17*,m3,o1,m3o1
213,4s39f37s28f+37m27o37*,m2,o3,m2o3
214,4f19f1f3s2u3s-;1l3*,u3,l3,u3l3
215,4f18f1f3*,f1,f3,f1f3
216,4f18f1f1f3s2j2f1*,j2,f1,j2f1
217,6b28b2b3y1f-1f3*,y1,f3,y1f3
218,4b39b2f3b3y1u-3*,b3,y1,b3y1
219,6s39b2u1u-3*,b2,u1,b2u1
220,4b29f1f1u3b-3*,f1,u3,f1u3
221,4b28f1f1f+3b2v2*,b2,v2,b2v2
222,6f28y1r-3m3*,y1,m3,y1m3
223,4b29f1f1f3s2b+3s3z1*,s3,z1,s3z1
224,4f28f+3b1v1*,b1,v1,b1v1
225,4f18f2b3b2b3b3b3s3b2s2f3s3b3b3b3b3*,b3,b3,b3b3
226,6+f18v3m1o1f3b3b3f1*,b3,f1,b3f1
227,c6r28j1l3p3*,l3,p3,l3p3
228,6b18r2u1f3*,u1,f3,u1f3
229,6f27f1f2f1*,f2,f1,f2f1
230,5+f28z2f2v3*,f2,v3,f2v3
231,6f28f1f2f3s2f2*,s2,f2,s2f2
232,6b38f3b2b3y+1*,b2,b3,b2b3
233,6+b28z3b1v1*,b1,v1,b1v1
234,4f38b+3s1v1*,s1,v1,s1v1
235,4f28b+3s2v1*,s2,v1,s2v1
236,c6f28f+3b2h3s1v1*,s1,v1,s1v1
237,c5f38f2f1*,f2,f1,f2f1
238,6b18f3b2f1f3*,f1,f3,f1f3
239,6f37b+39b2v17*,b2,v1,b2v1
240,6b39b39b+29f38i^27s-3z37*,f3,z3,f3z3
241,4f17r37s+39b3z27*,b3,z2,b3z2
242,4f17f38s37f-18l2o37*,l2,o3,l2o3
243,4b27f+29f2v^37b-1v17*,f2,v1,f2v1
244,6f29f18f39b29b39b38b18r17f-39*,b1,r1,b1r1
245,6b27b+38m2o38*,m2,o3,m2o3
246,4f28b29b28f38b28f19f18f+38s;27i18f18*,i1,f1,i1f1
247,6f27y17r-29m39*,y1,m3,y1m3
248,5b28f+38m27o17*,m2,o1,m2o1
249,c6b29b39b39b19f18f18f19f;37*,f1,f1,f1f1
250,4f28b28s39b;37*,b2,s3,b2s3
251,6b17f-38m2o37*,m2,o3,m2o3
252,4+b27h18f19*,h1,f1,h1f1
253,4b39f38b29f!27f-18*,f3,b2,f3b2
254,4f29f28s28f17r28f+39*,f1,r2,f1r2
255,4r27f+39m37o17*,m3,o1,m3o1
256,6r38s39s39s18f18f18*,f1,f1,f1f1
257,6f19f17f18f29s38y17u-37*,s3,y1,s3y1
258,4f28f38s28b19f28f28s29b39s37s39s29b38b28f28f29b18f19f17r;27*,f1,f1,f1f1
259,6b27s39b39b39b28f17*,b2,f1,b2f1
260,4f29f28b29b18f19f18f18f38*,f1,f3,f1f3
261,6b19f1f3*,f1,f3,f1f3
262,5r28b2b3b2s1f1f2b1r2f3*,r2,f3,r2f3
263,4+b28z1f3z1*,f3,z1,f3z1
264,4r28b2b3s3b3s3b2s3b3b3b2b1f1f3s3y3*,s3,y3,s3y3
265,6f28f3b2f1f1f3*,f1,f3,f1f3
266,6s19f1f3b3b2f2f3b1f1f2f2b2b1f1f3*,f1,f3,f1f3
267,c4f37b3s3s-1f1*,s3,f1,s3f1
268,6r28b1f3*,b1,f3,b1f3
269,4r39b3s1f1f2f+3m2o1*,m2,o1,m2o1
270,4s29f3s2f1*,s2,f1,s2f1
271,6r28f3b2f+1f3z3*,f3,z3,f3z3
272,4b39b2f1f3b3b3b2f2b1f1f3*,f1,f3,f1f3
273,4b27r+1f1h3*,f1,h3,f1h3
274,4b38b1f3b1*,f3,b1,f3b1
275,6s38b1r3b;1f3b2b2f1*,b2,f1,b2f1
276,6r29f2f2f1f2f1f1r2u3*,r2,u3,r2u3
277,4s37s3b3*,s3,b3,s3b3
278,6b37s3b3s3b+1f2v3*,f2,v3,f2v3
279,4s28j1f3*,j1,f3,j1f3
280,0q2f+3s1v1*,s1,v1,s1v1
281,4s37r3b1*,r3,b1,r3b1
282,4s38f+3b1i1f3*,i1,f3,i1f3
283,4s37f+1l2o1*,l2,o1,l2o1
284,4r18f3s3f1f1b1*,f1,b1,f1b1
285,5b28f3f1f1y1*,f1,y1,f1y1
286,6s27f1f+3f2v1*,f2,v1,f2v1
287,4s28b1f3f2s2b3b2b1f1b1*,f1,b1,f1b1
288,6f28b1f1b+3b1*,f1,b1,f1b1
289,4f28f3f3f1*,f3,f1,f3f1
290,c6b27f3f1f3*,f1,f3,f1f3
291,4b38f1f1*,f1,f1,f1f1
292,6+b28v1b3z3*,b3,z3,b3z3
293,4f28b3b3f1*,b3,f1,b3f1
294,6b28f1b2f1*,b2,f1,b2f1
295,c6+s2z39b3v18*,b3,v1,b3v1
296,6f27s+19b3z37*,b3,z3,b3z3
297,6f29b29f19*,b2,f1,b2f1
298,6+m2o17f17*,o1,f1,o1f1
299,c6r29f27s38s39f38s39f39s29s38s28s18r27s+19f17*,r2,f1,r2f1
300,6s28f+38f2z18*,f2,z1,f2z1
301,4+m2v37m29f18r28f+38m27o19*,m2,o1,m2o1
302,6+b2v^37m-19b1v37*,b1,v3,b1v3
303,6+b2z38b2v18*,b2,v1,b2v1
304,6f29f28s19f38r38s+18m2o37*,m2,o3,m2o3
305,6+b27i39b18*,i3,b1,i3b1
306,5f38f28f39b38*,f3,b3,f3b3
307,4s39s27s28s+19b17h28f39*,h2,f3,h2f3
308,6f19f28f+18f2v39b2z17*,b2,z1,b2z1
309,4+s27z38b1z17*,b1,z1,b1z1
310,4+b27i19l1p^37*,i1,l1,i1l1
311,4s28f3b3b3f1f2f3*,f2,f3,f2f3
312,4f28b+3s3z^3m-3o2*,s3,o2,s3o2
313,5b18f1f+3m2f3b+1l3o3*,l3,o3,l3o3
314,4f39b3b3f1*,b3,f1,b3f1
315,c4f;27f3s3f+1f3*,s3,f3,s3f3
316,4f28f+3s3z1*,s3,z1,s3z1
317,4s38b3y3*,b3,y3,b3y3
318,6s29f1f2b3b2f2f+3b1v2b1v3b1*,v3,b1,v3b1
319,4r39b3s1f2s3b+1*,f2,s3,f2s3
320,6f28f1f3b3s3b+3b2v1*,b2,v1,b2v1
321,4b38b2f1f3*,f1,f3,f1f3
322,4f18f+2m2o1*,m2,o1,m2o1
323,4f29b2f1f2f1f3s3b3b2f1f1f1f+3s3i1*,s3,i1,s3i1
324,4f29f1f2b1f3b3b1f2f1f1f1f2s3b3s2f3s3b2b3b2b3f1r1f+3b1*,r1,b1,r1b1
325,6f38f3b3b3b3b3b1*,b3,b1,b3b1
326,4f29f+3b2v1*,b2,v1,b2v1
327,6s37b+3b3z1f1*,z1,f1,z1f1
328,6f39b3b2f3b1f1f+2b3z^3*,f1,b3,f1b3
329,6b28f3b1*,f3,b1,f3b1
330,4f28f1f3b3b2f1f2b+3b3z2*,b3,z2,b3z2
331,4s29f3b2f1*,b2,f1,b2f1
332,6s37b3b2f1f3b3y1*,b3,y1,b3y1
333,6s37f+1f1v3*,f1,v3,f1v3
334,4f28f3s3f3s2f1*,s2,f1,s2f1
335,6s38f3b2f1*,b2,f1,b2f1
336,4f18f3b3b1f1f3s3b+1*,f3,s3,f3s3
337,6f;28f3b1f1f1f3*,f1,f3,f1f3
338,4s28f3b2f1f3s2f3b2f3b3s2f1f3s2v1*,s2,v1,s2v1
339,4f38b2s3b3s3b3b3b3f3b3s2f1f;1r2f1f2f1f3s3s3s1r2f3*,r2,f3,r2f3
340,5s37b3s3b3f;1f2f+3b3z^1*,f2,b3,f2b3
341,4s37b+2f1v3m3o2*,m3,o2,m3o2
342,4f18f1b2f3*,b2,f3,b2f3
343,6b!37f1s2j3f2v1*,f2,v1,f2v1
344,6+s27f-3f1o2*,f1,o2,f1o2
345,6f;27f1f1b1f3*,b1,f3,b1f3
346,6f18f1b2f+1b1*,b2,b1,b2b1
347,4+b1v3f3z3b-1*,f3,z3,f3z3
348,6b27f+1m2o3*,m2,o3,m2o3
349,6b27f+1b1v1s3z3*,s3,z3,s3z3
350,6+b2v1b1v^3*,v1,b1,v1b1
351,4f28f2f3f1f1*,f1,f1,f1f1
352,6f28f2f1b+3s3v1f3v2s3f3z1*,f3,z1,f3z1
353,5f28f2f3b3f3s3f2f2f3b2f1*,b2,f1,b2f1
354,4+b2v2m3p3*,m3,p3,m3p3
355,6f28f1b2s1b1f1s+3b1*,f1,b1,f1b1
356,4b29f2f3s2f1*,s2,f1,s2f1
357,4f17b1f2f3b2b;3*,f3,b2,f3b2
358,6f27f1f2f2b3f3f3*,f3,f3,f3f3
359,4f29f2b3*,f2,b3,f2b3
360,6f39f3f3f1f2u3b3*,u3,b3,u3b3
361,6+b2z3f3z1*,f3,z1,f3z1
362,c6f28f3b1*,f3,b1,f3b1
363,4f29f2f2b1f2f+3s3v^2*,f2,s3,f2s3
364,6f27f+1b1v1b3z^3*,v1,b3,v1b3
365,6b29f3f3b2b1f1b2b2f;1f3f3f3f2f1b1f2f3b2b1f1b3s2f1*,s2,f1,s2f1
366,6b28f1b2f+1b1*,b2,b1,b2b1
367,6f28f1f2f2s3f3b3b3y+1s3*,b3,s3,b3s3
368,4b38b3f3b3s1f1f3*,f1,f3,f1f3
369,4b28f1f1f;3b3b3b3b1f1f1*,f1,f1,f1f1
370,6f38f3b1r1f2b1f3f3s2f1*,s2,f1,s2f1
371,4f28s3b1f1f+3*,b1,f1,b1f1
372,6f28f1r1f1r3f3b3s3b3f3b3f2u+3s1l2f-3z^1*,s1,l2,s1l2
373,4r28f3s3b3s3b2f2f3b3s2f3*,s2,f3,s2f3
374,4b28f+1f2v3b1*,v3,b1,v3b1
375,c4f27f+3m2o1*,m2,o1,m2o1
376,6b28f2f3*,f2,f3,f2f3
377,4f27f3b3f1*,b3,f1,b3f1
378,6b18f1f3s2f+;1*,f3,s2,f3s2
379,6f28f3b3b3y3s3m3b3ys3m2o2*,m2,o2,m2o2
380,6s37s+3m2o1*,m2,o1,m2o1
381,6f38f3b2f;3*,f3,b2,f3b2
382,c4f18f2b3b3s3b1r1f+3m2o=2f3u+1f1*,f3,f1,f3f1
383,4s38f3s2u3*,s2,u3,s2u3
384,6b37s3b3b2f3b2s3f3b1f1f3b3b3b2f3b2s3b1f1f3*,f1,f3,f1f3
385,6b28f3b1*,f3,b1,f3b1
386,6f38b3b3b1r1f+3b2z1f1*,z1,f1,z1f1
387,4b37f+3s2b3m2o2*,m2,o2,m2o2
388,4f19f1r3b3b3b3b2f1f3s3b+3s3z3m2o1*,m2,o1,m2o1
389,4b39f3b3b3b3b3b2s2f1f2f1f3b3s3f1f1f3b3b2b1f1f1f1f2f1f3b3b3b2s3b2b2b3b3b3b3b3b3b3b3b3b3b3b1*,b3,b1,b3b1
390,4b28f1f1f1f3b3b1*,b3,b1,b3b1
391,6r17f+1r3z3*,r3,z3,r3z3
392,4f17f2s3b3y+1r3z2*,r3,z2,r3z2
393,4b28f3b3b3s3s2b1f1f2b3s3f+1l3o3*,l3,o3,l3o3
394,6b28f1f2b3b3s3b3b2b2f2y+3s1v1*,s1,v1,s1v1
395,4f27f3s3f1f1f1f1f1*,f1,f1,f1f1
396,6f37s3b1r1f+3m2o*,r1,m2,r1m2
397,6b18f1f1f+3m3o3*,m3,o3,m3o3
398,4f29f2f3s2f+3b2v3b-3*,b2,v3,b2v3
399,6b27f3b2f3b1f1f+3b2v1f1v2*,f1,v2,f1v2
400,4b37b3b1*,b3,b1,b3b1
401,6s38b3b3s1f2f+3b1v1*,b1,v1,b1v1
402,6+b37i2m3*,i2,m3,i2m3
403,6s27f+;3m1o1*,m1,o1,m1o1
404,4f27b+3m2v2*,m2,v2,m2v2
405,4s39b3b2f2f1r2f1f1f1r2f+3s2v1*,s2,v1,s2v1
406,6f18f3s3b3b3b3f1*,b3,f1,b3f1
407,5b18f2f3*,f2,f3,f2f3
408,5+b2z1f3*,z1,f3,z1f3
409,4f17f+3m2o1*,m2,o1,m2o1
410,4f28f+3s1h1f3*,h1,f3,h1f3
411,6s37b+3b2v1*,b2,v1,b2v1
412,5f29f3s3f+3s3v1*,s3,v1,s3v1
413,5+s3z3b3z2f1*,z2,f1,z2f1
414,4f18f+2s3z2l2o3*,l2,o3,l2o3
415,5+s3z1l3o3*,l3,o3,l3o3
416,6f38b3b2f2f1*,f2,f1,f2f1
417,4f28f1f1f3b2f2f3s2u3b-1*,s2,u3,s2u3
418,6f27f;1f1r3f3*,r3,f3,r3f3
419,5b17f+3m2o2f2f1r2f1f1f1f2f1f1f3b2f1f1f1f2b3s3y+1*,b3,s3,b3s3
420,cc6f27f1f2b1f1f2b3s3s1f1f1f1f+3s1*,f1,s1,f1s1
421,6b28b1f3*,b1,f3,b1f3
422,6r28f1f2f;3s2f1f2f3s2j=+2f3z^1*,s2,f3,s2f3
423,4f28f3m2o=2f2f1f2b2s3s2b2f3s3f3b3s3b1r3b+3s3z^1*,r3,s3,r3s3
424,4b29f3b1f3b+3s3z3z=2v3*,z3,v3,z3v3
425,4b39b3b1*,b3,b1,b3b1
426,4f18f2s2f3s3f3b3b1r2u+1f-1*,b1,r2,b1r2
427,6f37f3s2f1f1f1f3s2f+2*,f3,s2,f3s2
428,4f29f2s3f1*,s3,f1,s3f1
429,6b27f+3m1k1*,m1,k1,m1k1
430,4s19u1s-2l2k1*,l2,k1,l2k1
431,5b18f3s3f1f1b2f1b2f3*,b2,f3,b2f3
432,6s28f+1b2h2f3*,h2,f3,h2f3
433,c5f28f1b2f1b1f1b1f1b3s3f3b;3*,s3,f3,s3f3
434,6s28f+1s2f-3l1o=+1b2z3*,b2,z3,b2z3
435,c6r18f2b3f;1*,f2,b3,f2b3
436,6r29f3s3f3s3u3y-1m-1t2v^3*,u3,t2,u3t2
437,4b29f2f+1f2v^3*,f2,f2,f2f2
438,6s29f1s3f+3f1v^1y-1f-2*,s3,f1,s3f1
439,4b39f1f3r3f3f3b3f1*,b3,f1,b3f1
440,4f28f2b2f1*,b2,f1,b2f1
441,4r18f+3b3v1f1*,v1,f1,v1f1
442,4b38f1f1b1*,f1,b1,f1b1
443,4f38f3f2f1b1f3r2u1*,r2,u1,r2u1
444,4s27u3s-3v2*,u3,v2,u3v2
445,6b27f+;1m2o2*,m2,o2,m2o2
446,4r29f3s3f+3b2z2f;3*,b2,z2,b2z2
447,5b28f1r1f+3s2v3m3o3*,m3,o3,m3o3
448,4s28f+3s3z3*,s3,z3,s3z3
449,4b27f2f2b2*,f2,b2,f2b2
450,5r28f2b2f2b2f+3b2v1*,b2,v1,b2v1
451,4+f3z3b1*,z3,b1,z3b1
452,6s27f-3b1v3*,b1,v3,b1v3
453,6s28f1f2f+3*,f1,f2,f1f2
454,4f38b38s38s19+l19*,s1,l1,s1l1
455,6s29b38b39b39b19f19f38*,f1,f3,f1f3
456,4f19f27y17*,f2,y1,f2y1
457,4s38f18+r1v37*,r1,v3,r1v3
458,4r29f39+s2v18*,s2,v1,s2v1
459,5b29f37b38b38s18f38b18*,f3,b1,f3b1
460,6f18f38b18f29b28f19f39*,f1,f3,f1f3
461,4f18f29f38b39b38y17r-28b3z17*,b3,z1,b3z1
462,4f18f17f28b38*,f2,b3,f2b3
463,4b38b38b39b38b18f18f;17*,b1,f1,b1f1
464,4f18f29b18f18f38s38y37*,s3,y3,s3y3
465,4b38b19f39*,b1,f3,b1f3
466,4b37b38b39b38b37s39b29f19f37b38b38b19r19f39*,r1,f3,r1f3
467,6s17f39+b18*,f3,b1,f3b1
468,6s29f18+s3o37*,s3,o3,s3o3
469,4r37f-19l2o37*,l2,o3,l2o3
470,6f17f38+f37*,f3,f3,f3f3
471,5r28f39b27f39+*,b2,f3,b2f3
472,6f27f17+f2v^37*,f1,f2,f1f2
473,6f28f39f37f38*,f3,f3,f3f3
474,6f37b39f38b19s39f39f19*,f3,f1,f3f1
475,4f29f18s19f18b18f38*,b1,f3,b1f3
