,rally,receiving_shot,winning_shot,combined
2781,5+b17v3b3z1*,b3,z1,b3z1
2782,4+b28z1f2v2*,f2,v2,f2v2
2783,4+b28z2r1v3*,r1,v3,r1v3
2784,4+f28z3b3z1*,b3,z1,b3z1
2785,5+b27s3m3o3*,m3,o3,m3o3
2786,6+f27v1l3p3*,l3,p3,l3p3
2787,4+f27h2s3z1*,s3,z1,s3z1
2788,6+s28v3b2z1*,b2,z1,b2z1
2789,5f27r3b1v1*,b1,v1,b1v1
2790,6+b37v1f3*,v1,f3,v1f3
2791,5+f27v1b2v2*,b2,v2,b2v2
2792,6+f27h1b3*,h1,b3,h1b3
2793,4+f17s1b2*,s1,b2,s1b2
2794,4+s18z3m2o1*,m2,o1,m2o1
2795,6+b28v3m2o3*,m2,o3,m2o3
2796,4+s17i1f1*,i1,f1,i1f1
2797,4+f28v3b1z2*,b1,z2,b1z2
2798,4+s17y3s3*,y3,s3,y3s3
2799,4+f38z2b1*,z2,b1,z2b1
2800,6+b27h2f3*,h2,f3,h2f3
2801,4+s27v1s3z3*,s3,z3,s3z3
2802,6+s28v3b1z3z3*,z3,z3,z3z3
2803,4+b37r1f3*,r1,f3,r1f3
2804,6+f28v1m2*,v1,m2,v1m2
2805,c6+f28v1s2v3*,s2,v3,s2v3
2806,4+s17i2b1*,i2,b1,i2b1
2807,4+f18f3b3v1f+3*,b3,v1,b3v1
2808,4+s27z3s1i3z1z1r3*,z1,r3,z1r3
2809,6+f27f3m2o1*,m2,o1,m2o1
2810,4+f27v1m2o3*,m2,o3,m2o3
2811,4+f18z2b3v3*,b3,v3,b3v3
2812,6+s27z1b1v3*,b1,v3,b1v3
2813,6+s27z3f3*,z3,f3,z3f3
2814,6+f27i2l1*,i2,l1,i2l1
2815,4+s17z3m1*,z3,m1,z3m1
2816,5s39b3b3b3b3b3s3b3s3b1*,s3,b1,s3b1
2817,6f39b3s3b1f3s;3*,b1,f3,b1f3
2818,6+s37z1l3p3*,l3,p3,l3p3
2819,5s39b3s1f1f3s3s+1f1*,s3,f1,s3f1
2820,4s38b2f1*,b2,f1,b2f1
2821,4r39b2s3s3s3b1b1f1f2b+3*,f1,f2,f1f2
2822,4s39b3b1f2f+3b3z1f1*,z1,f1,z1f1
2823,c6+s28v3b1v^2r-3m2o1*,m2,o1,m2o1
2824,4s38b3b3b1f1f3s3b1f3b3s3b3s3s3b1f1f;1r+1*,b1,f1,b1f1
2825,5s28f3s3b3b+3s3z1f3*,z1,f3,z1f3
2826,6s29f1f1f1f1f1f1f3b1f3b3*,f3,b3,f3b3
2827,6s27b;2s3b1f3s3y+3*,f3,s3,f3s3
2828,6r29b3s3b3b+1f;1*,s3,b3,s3b3
2829,5+f27i3b3*,i3,b3,i3b3
2830,4+b37z1f3*,z1,f3,z1f3
2831,4s29f3s3b3s1f1h=2b2f+3s3z^3*,b2,s3,b2s3
2832,4+f37i3b1v^1*,i3,b1,i3b1
