,rally,receiving_shot,returned_shot,combined,is_winner,is_forced_error,is_winner_or_forced_error
11983,4+b17h2f3s3s+1l2o=1f3d@,o=1,f3,o=1f3,0,0,0
11984,6+b28v1f1*,v1,f1,v1f1,1,0,1
11985,c6+b28v2f3z3b1n@,z3,b1,z3b1,0,0,0
11986,4+b18v1f3n#,v1,f3,v1f3,0,1,1
11987,6+b28v1f3z3*,f3,z3,f3z3,1,0,1
11988,6+r37z3b1v1*,b1,v1,b1v1,1,0,1
11989,c4+b38z1l3p2n#,l3,p2,l3p2,0,1,1
11990,4+b28v1f1*,v1,f1,v1f1,1,0,1
11991,c6+s28v2b1d@,v2,b1,v2b1,0,0,0
11992,4+b27v3b1*,v3,b1,v3b1,1,0,1
11993,5+s+27z3z3n@,z3,z3,z3z3,0,0,0
11994,4+f28z3b1d#,z3,b1,z3b1,0,1,1
11995,6+f17h1r+3b1n@,r+3,b1,r+3b1,0,0,0
11996,6+f38z2f3n@,z2,f3,z2f3,0,0,0
11997,6+s+27z2z2*,z2,z2,z2z2,1,0,1
11998,4+f28z3m3o3s3f3w@,s3,f3,s3f3,0,0,0
11999,6+f27s3b3z1*,b3,z1,b3z1,1,0,1
12000,5+b17v3b1w#,v3,b1,v3b1,0,1,1
12001,6+s37y1f3d#,y1,f3,y1f3,0,1,1
12002,4+s27v3b1n@,v3,b1,v3b1,0,0,0
12003,4+f38i3b3z1*,b3,z1,b3z1,1,0,1
12004,6+b27v3b2v2n@,b2,v2,b2v2,0,0,0
12005,6+s27i1r1v3*,r1,v3,r1v3,1,0,1
12006,6+m27o1l3o3*,l3,o3,l3o3,1,0,1
12007,6+f18v3m2o=3s#,m2,o=3,m2o=3,0,1,1
12008,4+s18v1f3z3*,f3,z3,f3z3,1,0,1
12009,6+s37s1f1v2s+3z3i1*,z3,i1,z3i1,1,0,1
12010,6+f27h3b3z1*,b3,z1,b3z1,1,0,1
12011,6+s37z1f1n#,z1,f1,z1f1,0,1,1
12012,6+s17v3m3w@,v3,m3,v3m3,0,0,0
12013,5+s27z3s1w#,z3,s1,z3s1,0,1,1
12014,4+s37z1t3w#,z1,t3,z1t3,0,1,1
12015,4+s28v2f1n@,v2,f1,v2f1,0,0,0
12016,6+b28z2f3z2d#,f3,z2,f3z2,0,1,1
12017,6+b28i2f1*,i2,f1,i2f1,1,0,1
12018,4+f28v2b3z3r1v1v2*,v1,v2,v1v2,1,0,1
12019,6+f38z2r-1l1f3z3*,f3,z3,f3z3,1,0,1
12020,6+b18v2f1x@,v2,f1,v2f1,0,0,0
12021,c4+b28v1f1*,v1,f1,v1f1,1,0,1
12022,4+b18v1f3w#,v1,f3,v1f3,0,1,1
12023,4+s28v1l1o3w@,l1,o3,l1o3,0,0,0
12024,4+s37s1f1d@,s1,f1,s1f1,0,0,0
12025,4+b17v3l3o2s1v1f2n#,v1,f2,v1f2,0,1,1
12026,c4+s27f3m3o3*,m3,o3,m3o3,1,0,1
12027,5+s37z3m+2b3n#,m+2,b3,m+2b3,0,1,1
12028,6+s28z2l2d@,z2,l2,z2l2,0,0,0
12029,4+s28v1f3w#,v1,f3,v1f3,0,1,1
12030,4+b28v3m+3m+3m3d#,m+3,m3,m+3m3,0,1,1
12031,6+b18h3b3z#,h3,b3,h3b3,0,1,1
12032,6+b28z3b1n#,z3,b1,z3b1,0,1,1
12033,5+s+38z2v1*,z2,v1,z2v1,1,0,1
12034,6+b28z2f3*,z2,f3,z2f3,1,0,1
12035,4+s37z1f1v2*,f1,v2,f1v2,1,0,1
12036,4f28b2r+1b2v3*,b2,v3,b2v3,1,0,1
12037,4f28b3f2f2s1b1s2f+2n@,s2,f+2,s2f+2,0,0,0
12038,4+b27z3f1n#,z3,f1,z3f1,0,1,1
12039,4+b17z1m1x@,z1,m1,z1m1,0,0,0
12040,4f38f+1b1x@,f+1,b1,f+1b1,0,0,0
12041,6f19b1s2f3f3f2s2f1b2f3n@,b2,f3,b2f3,0,0,0
12042,5s28b1b2f1b1b2s2f3n@,s2,f3,s2f3,0,0,0
12043,c6f18b2s+2b2z1m1p3*,m1,p3,m1p3,1,0,1
12044,4r18b+1b1z#,b+1,b1,b+1b1,0,1,1
12045,5f28f2b1b1s2f+2b3d@,f+2,b3,f+2b3,0,0,0
12046,5b37f2f2b1s1b1n@,s1,b1,s1b1,0,0,0
12047,6+f27v3l2o3n#,l2,o3,l2o3,0,1,1
12048,c4+f28z3l3l#,z3,l3,z3l3,0,1,1
12049,4s27r1s1b3f2s+1d@,f2,s+1,f2s+1,0,0,0
12050,4r28b1b2s+2f3v1b1*,v1,b1,v1b1,1,0,1
12051,5+b38v1b3v3*,b3,v3,b3v3,1,0,1
12052,6+s27z3l2o=3f2s2s+1n@,s2,s+1,s2s+1,0,0,0
12053,5f18b1b2f2f2d@,f2,f2,f2f2,0,0,0
12054,4f37r+1b2z3*,b2,z3,b2z3,1,0,1
12055,4+b27z1b1n@,z1,b1,z1b1,0,0,0
12056,6f28b2f+1m2o2d@,m2,o2,m2o2,0,0,0
12057,6b27b+1b1w@,b+1,b1,b+1b1,0,0,0
12058,5+f27h2f1z3w#,f1,z3,f1z3,0,1,1
12059,6s27s+3f2z2m2d#,z2,m2,z2m2,0,1,1
12060,6f28b1s+2f2v1d#,f2,v1,f2v1,0,1,1
12061,5f28f2f2f2b2f2f+3f2d@,f+3,f2,f+3f2,0,0,0
12062,5f19b2f3f3r+1m2p2f+2b2z3*,b2,z3,b2z3,1,0,1
12063,5+b28z3f1d#,z3,f1,z3f1,0,1,1
12064,6+f28v2b3v1*,b3,v1,b3v1,1,0,1
12065,6f29b3f2b3d@,f2,b3,f2b3,0,0,0
12066,6f28b+1s1n#,b+1,s1,b+1s1,0,1,1
12067,4+b27v1b3v1m1w#,v1,m1,v1m1,0,1,1
12068,6+f27z2f3w@,z2,f3,z2f3,0,0,0
12069,5b27s+3f3n@,s+3,f3,s+3f3,0,0,0
12070,6f28f3f+1s1z3n#,s1,z3,s1z3,0,1,1
12071,5f38f3f3f1y1b3l2b2y2s3n#,y2,s3,y2s3,0,1,1
12072,4b18b2f3f3w@,f3,f3,f3f3,0,0,0
12073,4+f17b1m3o3*,m3,o3,m3o3,1,0,1
12074,5s28b+3f2v1*,f2,v1,f2v1,1,0,1
12075,6f18b1b1b1s2f+1n@,s2,f+1,s2f+1,0,0,0
12076,4f28s3f1n@,s3,f1,s3f1,0,0,0
12077,6+f27v1b3v1b3n#,v1,b3,v1b3,0,1,1
12078,6+s27z1b1n@,z1,b1,z1b1,0,0,0
12079,6f28s+2b2z3f3v1*,f3,v1,f3v1,1,0,1
12080,6b18b1s2b1b1b3f3n#,b3,f3,b3f3,0,1,1
12081,4f28f2f+1b1z3*,b1,z3,b1z3,1,0,1
12082,4f29b2b1n@,b2,b1,b2b1,0,0,0
12083,4+b37h2m+1f1z3r1*,z3,r1,z3r1,1,0,1
12084,6f38f3f3d@,f3,f3,f3f3,0,0,0
12085,6f28f1b2b3w@,b2,b3,b2b3,0,0,0
12086,6f28s2b2s+1b3v3*,b3,v3,b3v3,1,0,1
12087,5f28f3f2b+3f1*,b+3,f1,b+3f1,1,0,1
12088,4f28b+3b1z2*,b1,z2,b1z2,1,0,1
